feature,local_weight,abs_weight
numeric__is_actor,0.039214348854397625,0.039214348854397625
numeric__medida_cautelar_solicitada,0.024120788728219898,0.024120788728219898
numeric__log_cuantia,0.022285799816110945,0.022285799816110945
numeric__prueba_pericial_prevista,0.020292244544288084,0.020292244544288084
numeric__is_segunda,-0.019547180317530673,0.019547180317530673
numeric__is_laboral,0.01607002297626269,0.01607002297626269
numeric__is_ruminahui,0.006335045651141773,0.006335045651141773
numeric__actor_medida,0.004828333396964569,0.004828333396964569
numeric__is_publica,-0.00437778441636477,0.00437778441636477
numeric__cuantia_missing,0.004089043993353202,0.004089043993353202
numeric__missingindicator_medida_cautelar_solicitada,-0.0014246644371785626,0.0014246644371785626
categorical__tipo_proceso_Monitorio,0.0009534225837617581,0.0009534225837617581
numeric__missingindicator_log_cuantia,0.0009499503080512346,0.0009499503080512346
categorical__tipo_proceso_Visto bueno,-0.0009261866857607577,0.0009261866857607577
categorical__rol_cliente_Actor,0.0008022913431364446,0.0008022913431364446
